CHAPTER,TITLE,NOTE,SUBHEADING NOTE,SUPPLEMENTARY NOTE,STATISTICAL NOTE,SECTION
80,Tin and articles thereof,"1. In this Chapter the following expressions have the meanings hereby assigned to them:

(a) Bars and rods
Rolled, extruded, drawn or forged products, not in coils, which have a uniform solid cross-section along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons (including ""flattened circles"" and ""modified rectangles"", of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). Products with a rectangular (including square), triangular or polygonal cross-section may have corners rounded along their whole length. The thickness of such products which have a rectangular (including ""modified rectangular"") cross-section exceeds one-tenth of the width. The expression also covers cast or sintered products, of the same forms and dimensions, which have been subsequently worked after production (otherwise than by simple trimming or de-scaling), provided that they have not thereby assumed the character of articles or products of other headings.

(b) Profiles
Rolled, extruded, drawn, forged or formed products, coiled or not, of a uniform cross-section along their whole length, which do not conform to any of the definitions of bars, rods, wire, plates, sheets, strip, foil, tubes or pipes. The expression also covers cast or sintered products, of the same forms, which have been subsequently worked after production (otherwise than by simple trimming or de-scaling), provided that they have not thereby assumed the character of articles or products of other headings.

(c) Wire
Rolled, extruded or drawn products, in coils, which have a uniform solid cross-section along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons (including ""flattened circles"" and ""modified rectangles"", of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel). Products with a rectangular (including square), triangular or polygonal cross-section may have corners rounded along their whole length. The thickness of such products which have a rectangular (including ""modified rectangular"") cross-section exceeds one-tenth of the width.

(d) Plates, sheets, strip and foil
Flat-surfaced products (other than the unwrought products of heading 80.01), coiled or not, of solid rectangular (other than square) cross-section with or without rounded corners (including ""modified rectangles"" of which two opposite sides are convex arcs, the other two sides being straight, of equal length and parallel) of a uniform thickness, which are:

of rectangular (including square) shape with a thickness not exceeding one-tenth of the width,
of a shape other than rectangular or square, of any size, provided that they do not assume the character of articles or products of other headings.
(e) Tubes and pipes
Hollow products, coiled or not, which have a uniform cross-section with only one enclosed void along their whole length in the shape of circles, ovals, rectangles (including squares), equilateral triangles or regular convex polygons, and which have a uniform wall thickness. Products with a rectangular (including square), equilateral triangular or regular convex polygonal cross-section, which may have corners rounded along their whole length, are also to be considered as tubes and pipes provided the inner and outer cross-sections are concentric and have the same form and orientation. Tubes and pipes of the foregoing cross-sections may be polished, coated, bent, threaded, drilled, waisted, expanded, cone-shaped or fitted with flanges, collars or rings.

","1. In this Chapter the following expressions have the meanings hereby assigned to them:

(a) Tin, not alloyed
Metal containing by weight at least 99% of tin, provided that the content by weight of any bismuth or copper is less than the limit specified in the following table:

Table - Other elements
Element	Limiting content % by weight
Bi - Bismuth	0.1
Cu - Copper	0.4
(b) Tin alloys
Metallic substances in which tin predominates by weight over each of the other elements, provided that:

(i) the total content by weight of such other elements exceeds 1%; or
(ii) the content by weight of either bismuth or copper is equal to or greater than the limit specified in the foregoing table.",,,15
81,Other base metals; cermets; articles thereof,,"1. Note 1 to Chapter 74, defining ""bars and rods"", ""profiles"", ""wire"" and ""plates, sheets, strip and foil"" applies, mutatis mutandis, to this Chapter.","1. In this Chapter the following expressions have the meanings hereby assigned to them:

(a) Not alloyed - Metallic substances containing by weight at least 99% of the respective base metal.
(b) Alloyed - Metallic substances in which the respective base metal predominates by weight over each of the other elements provided that the total content by weight of such other elements exceeds 1%.",,15
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","1. Apart from blow lamps, portable forges, grinding wheels with frameworks, manicure or pedicure sets, and goods of heading 82.09, this Chapter covers only articles with a blade, working edge, working surface or other working part of:

(a) Base metal;
(b) Metal carbides or cermets;
(c) Precious or semi-precious stones (natural, synthetic or reconstructed) on a support of base metal, metal carbide or cermet; or
(d) Abrasive materials on a support of base metal, provided that the articles have cutting teeth, flutes, grooves, or the like, of base metal, which retain their identity and function after the application of the abrasive.

2. Parts of base metal of the articles of this Chapter are to be classified with the articles of which they are parts, except parts separately specified as such and tool-holders for hand tools (heading 84.66). However, parts of general use as defined in Note 2 to Section XV are in all cases excluded from this Chapter.

Heads, blades or cutting plates for electric shavers and electric hair clippers are to be classified in heading 85.10.

3. Sets consisting of one or more knives of heading 82.11 and at least an equal number of articles of heading 82.15 are to be classified in heading 82.15.   ",,,,15
83,Miscellaneous articles of base metal,"1. For the purpose of this Chapter, parts of base metal are to be classified with their parent articles. However, articles of iron or steel of heading 73.12, 73.15, 73.17, 73.18 or 73.20, or similar articles of other base metal (Chapters 74 to 76 and 78 to 81) are not to be taken as parts of articles of this Chapter.

2. For the purpose of heading 83.02, the word ""castors"" means those having a diameter (including, where appropriate, tires) not exceeding 75 mm, or those having a diameter (including, where appropriate, tires) exceeding 75 mm provided that the width of the wheel or tire fitted thereto is less than 30 mm.",,,,15
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof","1. This Chapter does not cover:

(a) Millstones, grindstones or other articles of Chapter 68;
(b) Machinery or appliances (for example, pumps) of ceramic material and ceramic parts of machinery or appliances of any material (Chapter 69);
(c) Laboratory glassware (heading 70.17); machinery, appliances or other articles for technical uses or parts thereof, of glass (heading 70.19 or 70.20);
(d) Articles of heading 73.21 or 73.22 or similar articles of other base metals (Chapters 74 to 76 or 78 to 81);
(e) Vacuum cleaners of heading 85.08;
(f) Electro-mechanical domestic appliances of heading 85.09; digital cameras of heading 85.25;
(g) Radiators for the articles of Section XVII; or
(h)Hand-operated mechanical floor sweepers, not motorized (heading 96.03).

2. Subject to the operation of Note 3 to Section XVI and subject to Note 9 to this Chapter, a machine or appliance which answers to a description in one or more of the headings 84.01 to 84.24, or heading 84.86 and at the same time to a description in one or other of the headings 84.25 to 84.80 is to be classified under the appropriate heading of the former group or under heading 84.86, as the case may be, and not the latter group.

Heading 84.19 does not, however, cover:

(a) Germination plant, incubators or brooders (heading 84.36);
(b) Grain dampening machines (heading 84.37);
(c) Diffusing apparatus for sugar juice extraction (heading 84.38);
(d) Machinery for the heat-treatment of textile yarns, fabrics or made up textile articles (heading 84.51); or
(e) Machinery or plant, designed for mechanical operation, in which a change of temperature, even if necessary, is subsidiary.
Heading 84.22 does not cover:

(a) Sewing machines for closing bags or similar containers (heading 84.43); or
(b) Office machinery of heading 84.56.
Heading 84.24 does not cover:

(a) Ink-jet printing machines (heading 84.43); or
(b) Water-jet cutting machines (heading 84.56).

3. A machine-tool for working any material which answers to a description in heading 84.56 and at the same time to a description in heading 84.57, 84.58, 84.59, 84.60, 84.61, 84.64 or 84.65 is to be classified in heading 84.56.

4. Heading 84.57 applies only to machine-tools for working metal, other than lathes (including turning centres), which can carry out different types of machining operations either:

(a) by automatic tool change from a magazine or the like in conformity with a machining programme (machining centres),
(b) by the automatic use, simultaneously or sequentially, of different unit heads working on a fixed position workpiece (unit construction machines, single station), or
(c) by the automatic transfer of the workpiece to different heads (multi-station transfer machines).

5. (A) For the purpose of heading 84.71, the expression ""automatic data processing machines"" means machines capable of:

(i) Storing the processing program or programs and at least the data immediately necessary for the execution of the program;
(ii) Being freely programmed in accordance with the requirements of the user;
(iii) Performing arithmetical computations specified by the user; and,
(iv) Executing, without human intervention, a processing program which requires them to modify their execution, by logical decision during the processing run.
(B) Automatic data processing machines may be in the form of systems consisting of a variable number of separate units.

(C) Subject to paragraphs (D) and (E) below, a unit is to be regarded as being part of an automatic data processing system if it meets all of the following conditions:

(i) It is of a kind solely or principally used in an automatic data processing system;
(ii) It is connectable to the central processing unit either directly or through one or more other units; and
(iii) It is able to accept or deliver data in a form (codes or signals) which can be used by the system.
Separately presented units of an automatic data processing machine are to be classified in heading 84.71.

However, keyboards, X-Y co-ordinate input devices and disk storage units which satisfy the conditions of paragraphs (C) (ii) and (C) (iii) above, are in all cases to be classified as units of heading 84.71.

(D) Heading 84.71 does not cover the following when presented separately, even if they meet all of the conditions set forth in Note 5 (C) above:

(i) Printers, copying machines, facsimile machines, whether or not combined;
(ii) Apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network);
(iii) Loudspeakers and microphones;
(iv) Television cameras, digital cameras and video camera recorders;
(iv) Monitors and projectors, not incorporating television reception apparatus.
(E) Machines incorporating or working in conjunction with an automatic data processing machine and performing a specific function other than data processing are to be classified in the headings appropriate to their respective functions or, failing that, in residual headings.

6. Heading 84.82 applies, inter alia, to polished steel balls, the maximum and minimum diameters of which do not differ from the nominal diameter by more than 1% or by more than 0.05 mm, whichever is less. Other steel balls are to be classified in heading 73.26.

7. A machine which is used for more than one purpose is, for the purpose of classification, to be treated as if its principal purpose were its sole purpose.

Subject to Note 2 to this Chapter and Note 3 to Section XVI, a machine the principal purpose of which is not described in any heading or for which no one purpose is the principal purpose is, unless the context otherwise requires, to be classified in heading 84.79. Heading 84.79 also covers machines for making rope or cable (for example, stranding, twisting or cabling machines) from metal wire, textile yarn or any other material or from a combination of such materials.

8. For the purpose of heading 84.70, the term ""pocket-size"" applies only to machines the dimensions of which do not exceed 170 mm x 100 mm x 45 mm.

9. (A) Notes 9 (a) and 9 (b) to Chapter 85 also apply with respect to the expressions ""semiconductor devices"" and ""electronic integrated circuits"", respectively, as used in this Note and in heading 84.86. However, for the purposes of this Note and of heading 84.86, the expression ""semiconductor devices"" also covers photosensitive semiconductor devices and light-emitting diodes (LED).

(B) For the purposes of this Note and of heading 84.86, the expression ""manufacture of flat panel displays"" covers the fabrication of substrates into a flat panel. It does not cover the manufacture of glass or the assembly of printed circuit boards or other electronic components onto the flat panel. The expression ""flat panel display"" does not cover cathode-ray tube technology.

(C) Heading 84.86 also includes machines and apparatus solely or principally of a kind used for:

(i) the manufacture or repair of masks and reticles;
(ii) assembling semiconductor devices or electronic integrated circuits; and
(iii) lifting, handling, loading or unloading of boules, wafers, semiconductor devices, electronic integrated circuits and flat panel displays.
(D) Subject to Note 1 to Section XVI and Note 1 to Chapter 84, machines and apparatus answering to the description in heading 84.86 are to be classified in that heading and in no other heading of the Nomenclature.



","1. For the purposes of subheading 8465.20, the term ""machining centres"" applies only to machine-tools for working wood, cork, bone, hard rubber, hard plastics or similar hard materials, which can carry out different types of machining operations by automatic tool change from a magazine or the like in conformity with a machining programme.

2. For the purpose of subheading 8471.49, the term ""systems"" means automatic data processing machines whose units satisfy the conditions laid down in Note 5 (C) to Chapter 84 and which comprise at least a central processing unit, one input unit (for example, a keyboard or a scanner), and one output unit (for example, a visual display unit or a printer).

3. For the purposes of subheading 8481.20, the expression ""valves for oleohydraulic or pneumatic transmissions"" means valves which are used specifically in the transmission of ""fluid power"" in a hydraulic or pneumatic system, where the energy source is supplied in the form of pressurised fluids (liquid or gas). These valves may be of any type (for example, pressure-reducing type, check type). Subheading 8481.20 takes precedence over all other subheadings of heading 84.81.

4. Subheading 8482.40 applies only to bearings with cylindrical rollers of a uniform diameter not exceeding 5 mm and having a length which is at least three times the diameter.  The ends of the rollers may be rounded.","1. For purpose of this Chapter, the term ""printed circuit assembly"", means a good consisting of one or more printed circuits of heading 85.34 with one or more active elements assembled thereon, with or without passive elements. For purposes of this Note, ""active elements"" means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41, and integrated circuits and microassemblies of heading 85.42.

2. For purposes of subheading 8471.49, the origin of each unit presented within a system shall be determined in accordance with the rule that would be applicable to such unit if it were presented separately and the rate of duty applicable to each unit presented in a system shall be:

(a) in the case of Mexico, the rate that would be applicable to such unit if it were presented separately; and
(b) in the case of Canada and the United States, the rate that is applicable to such unit under the appropriate tariff item No. within subheading 8471.49.
For the purposes of this Note, the term ""unit presented within a system"" shall mean:

(i) a separate unit as described in Note 5 (B) to Chapter 84 of the Harmonized System; or
(ii) any other separate machine that is presented and classified with a system under subheading 8471.49.",,16
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles","1. This Chapter does not cover:

(a) Electrically warmed blankets, bed pads, foot-muffs or the like; electrically warmed clothing, footwear or ear pads or other electrically warmed articles worn on or about the person;
(b) Articles of glass of heading 70.11;
(c) Machines and apparatus of heading 84.86;
(d) Vacuum apparatus of a kind used in medical, surgical, dental or veterinary sciences (heading 90.18); or
(e) Electrically heated furniture of Chapter 94.

2. Headings 85.01 to 85.04 do not apply to goods described in heading 85.11, 85.12, 85.40, 85.41 or 85.42.

However, metal tank mercury arc rectifiers remain classified in heading 85.04.

3. For the purposes of heading 85.07, the expression ""electric accumulators"" includes those presented with ancillary components which contribute to the accumulator's function of storing and supplying energy or protect it from damage, such as electrical connectors, temperature control devices (for example, thermistors) and circuit protection devices. They may also include a portion of the protective housing of the goods in which they are to be used.

4. Heading 85.09 covers only the following electro-mechanical machines of the kind commonly used for domestic purposes:

(a) Floor polishers, food grinders and mixers, and fruit or vegetable juice extractors, of any weight;
(b) Other machines provided the weight of such machines does not exceed 20 kg.
The heading does not, however, apply to fans or ventilating or recycling hoods incorporating a fan, whether or not fitted with filters (heading 84.14), centrifugal clothes-dryers, (heading 84.21), dish washing machines (heading 84.22), household washing machines (heading 84.50), roller or other ironing machines (heading 84.20 or 84.51), sewing machines (heading 84.52), electric scissors (heading 84.67) or to electro-thermic appliances (heading 85.16).

5. For the purposes of heading 85.23:

(a) ""Solid-state non-volatile storage devices"" (for example, ""flash memory cards"" or ""flash electronic storage cards"") are storage devices with a connecting socket, comprising in the same housing one or more flash memories (for example, ""FLASH E2PROM"") in the form of integrated circuits mounted on a printed circuit board. They may include a controller in the form of an integrated circuit and discrete passive components, such as capacitors and resistors;
(b) The term ""smart cards"" means cards which have embedded in them one or more electronic integrated circuits (a microprocessor, random access memory (RAM) or read-only memory (ROM)) in the form of chips. These cards may contain contacts, a magnetic stripe or an embedded antenna but do not contain any other active or passive circuit elements.

6. For the purpose of heading 85.34 ""printed circuits"" are circuits obtained by forming on an insulating base, by any printing process (for example, embossing, plating-up, etching) or by the ""film circuit"" technique, conductor elements, contacts or other printed components (for example, inductances, resistors, capacitors) alone or interconnected according to a pre-established pattern, other than elements which can produce, rectify, modulate or amplify an electrical signal (for example, semiconductor elements).

The expression ""printed circuits"" does not cover circuits combined with elements other than those obtained during the printing process, nor does it cover individual, discrete resistors, capacitors or inductances. Printed circuits may, however, be fitted with non-printed connecting elements.

Thin- or thick-film circuits comprising passive and active elements obtained during the same technological process are to be classified in heading 85.42.

7. For the purpose of heading 85.36, ""connectors for optical fibres, optical fibre bundles or cables"" means connectors that simply mechanically align optical fibres end to end in a digital line system. They perform no other function, such as the amplification, regeneration or modification of a signal.

8. Heading 85.37 does not include cordless infrared devices for the remote control of television receivers or other electrical equipment (heading 85.43).

9. For the purpose of headings 85.41 and 85.42:

(a) ""Diodes, transistors and similar semiconductor devices"" are semiconductor devices the operation of which depends on variations in resistivity on the application of an electric field;
(b) ""Electronic integrated circuits and microassemblies"" are:
(i) Monolithic integrated circuits in which the circuit elements (diodes, transistors, resistors, capacitors, inductances, etc.) are created in the mass (essentially) and on the surface of a semiconductor or compound semiconductor material (for example, doped silicon, gallium arsenide, silicon germanium, indium phosphide) and are inseparably associated;
(ii) Hybrid integrated circuits in which passive elements (resistors, capacitors, inductances, etc.), obtained by thin- or thick-film technology, and active elements (diodes, transistors, monolithic integrated circuits, etc.), obtained by semiconductor technology, are combined to all intents and purposes indivisibly, by interconnections or interconnecting cables, on a single insulating substrate (glass, ceramic, etc.). These circuits may also include discrete components;
(iii) Multichip integrated circuits consisting of two or more interconnected monolithic integrated circuits combined to all intents and purposes indivisibly, whether or not on one or more insulating substrates, with or without leadframes, but with no other active or passive circuit elements.
(iv) Multi-component integrated circuits (MCOs): a combination of one or more monolithic, hybrid, or multi-chip integrated circuits with at least one of the following components: silicon-based sensors, actuators, oscillators, resonators or combinations thereof, or components performing the functions of articles classifiable under heading 85.32, 85.33, 85.41, or inductors classifiable under heading 85.04, formed to all intents and purposes indivisibly into a single body like an integrated circuit, as a component of a kind used for assembly onto a printed circuit board (PCB) or other carrier, through the connecting of pins, leads, balls, lands, bumps, or pads.

For the purpose of this definition :
1.  ""Components"" may be discrete, manufactured independently then assembled onto the rest of the MCO, or integrated into other components.
2.  ""Silicon based"" means built on a silicon substrate, or made of silicon materials, or manufactured onto integrated circuit die.
3. 
(a) ""Silicon based sensors"" consist of microelectronic or mechanical structures that are created in the mass or on the surface of a semiconductor and that have the function of detecting physical or chemical quantities and transducing these into electric signals, caused by resulting variations in electric properties or displacement of a mechanical structure. ""Physical or chemical quantities"" relates to real world phenomena, such as pressure, acoustic waves, acceleration, vibration, movement, orientation, strain, magnetic field strength, electric field strength, light, radioactivity, humidity, flow, chemicals concentration, etc.
(b) ""Silicon based actuators"" consist of microelectronic and mechanical structures that are created in the mass or on the surface of a semiconductor and that have the function of converting electrical signals into physical movement.
(c) ""Silicon based resonators"" are components that consist of microelectronic or mechanical structures that are created in the mass or on the surface of a semiconductor and have the function of generating a mechanical or electrical oscillation of a predefined frequency that depends on the physical geometry of these structures in response to an external input.
(d) ""Silicon based oscillators"" are active components that consist of microelectronic or mechanical structures that are created in the mass or on the surface of a semiconductor and that have the function of generating a mechanical or electrical oscillation of a predefined frequency that depends on the physical geometry of these structures.
For the classification of the articles defined in this Note, headings 85.41 and 85.42 shall take precedence over any other heading in the Nomenclature, except in the case of heading 85.23, which might cover them by reference to, in particular, their function.

10. For the purposes of heading 85.48, ""spent primary cells, spent primary batteries and spent electric accumulators"" are those which are neither usable as such because of breakage, cutting-up, wear or other reasons, nor capable of being recharged.


","1. Subheadings 8527.12 covers only cassette-players with built-in amplifier, without built-in loudspeaker, capable of operating without an external source of electric power and the dimensions of which do not exceed 170 mm x 100 mm x 45 mm.

Supplementary Notes.
1. For purposes of this Chapter, ""printed circuit assembly"" means a good consisting of one or more printed circuits of heading 85.34 with one or more active elements assembled on it, with or without passive elements. For purposes of this Note, ""active elements"" means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41, and integrated circuits of heading 85.42.

2. For purposes of this Chapter:

(a) references to ""high definition"" as it applies to television receivers and cathode-ray tubes refers to goods having
(i) an aspect ratio of the screen equal to or greater than 16:9, and
(ii) a viewing screen capable of displaying more than 700 scanning lines; and
(b) the video display diagonal is determined by measuring the maximum straight line dimension across the visible portion of the face plate used for displaying video.

3. For the purposes of heading 85.23, ""software"" means programs that are recorded on diskettes, compact discs, magnetic tape or any other suitable storage medium and that are designed to be executed by a computer or similar programmable, microprocessor-controlled device or apparatus but does not mean audio or video recordings of a type used with sound recording or reproducing apparatus of heading 85.19 or with video recording or reproducing apparatus of heading 85.21.",,"(NB These notes do not form part of the Customs Tariff legislation.)

1. For the statistical purposes of subheading 8539.10, the size of a sealed beam lamp unit is determined by measuring the largest diagonal dimension across the face-plate for rectangular lamp units and the diameter for circular lamp units.

2. For the statistical purposes of subheadings 8525.50 and 8525.60, the lowest operating frequency will determine the classification.

3. For the statistical purposes of subheading 8544.70 having a unit of measure “metre”, the intention is to capture the total number of metres obtained by multiplying the number of individual fibres by the length.",16
86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds","1. This Chapter does not cover:

(a) Railway or tramway sleepers of wood or of concrete, or concrete guidetrack sections for hovertrains (heading 44.06 or 68.10);
(b) Railway or tramway track construction material of iron or steel of heading 73.02; or
(c) Electrical signalling, safety or traffic control equipment of heading 85.30.

2. Heading 86.07 applies, inter alia, to:

(a) Axles, wheels, wheel sets (running gear), metal tires, hoops and hubs and other parts of wheels;
(b) Frames, underframes, bogies and bisselbogies;
(c) Axle boxes; brake gear;
(d) Buffers for rollingstock; hooks and other coupling gear and corridor connections;
(e) Coachwork.

3. Subject to the provisions of Note 1 above, heading 86.08 applies, inter alia, to:

(a) Assembled track, turntables, platform buffers, loading gauges;
(b) Semaphores, mechanical signal discs, level crossing control gear, signal and point controls, and other mechanical (including electromechanical) signalling, safety or traffic control equipment, whether or not fitted for electric lighting, for railways, tramways, roads, inland waterways, parking facilities, port installations or airfields.",,,,17
87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof","1. This Chapter does not cover railway or tramway rolling-stock designed solely for running on rails.

2. For the purpose of this Chapter, ""tractors"" means vehicles constructed essentially for hauling or pushing another vehicle, appliance or load, whether or not they contain subsidiary provision for the transport, in connection with the main use of the tractor, of tools, seeds, fertilizers or other goods.

Machines and working tools designed for fitting to tractors of heading 87.01 as interchangeable equipment remain classified in their respective headings even if presented with the tractor, and whether or not mounted on it.

3. Motor chassis fitted with cabs fall in headings 87.02 to 87.04, and not in heading 87.06.

4. Heading 87.12 includes all children's bicycles. Other children's cycles fall in heading 95.03.",,,,17
88,"Aircraft, spacecraft, and parts thereof",,"1. For the purpose of subheadings 8802.11 to 8802.40, the expression ""unladen weight"" means the weight of the machine in normal flying order, excluding the weight of the crew and of fuel and equipment other than permanently fitted items of equipment.",,,17
89,"Ships, boats and floating structures","1. A hull, an unfinished or incomplete vessel, assembled, unassembled or disassembled, or a complete vessel unassembled or disassembled, is to be classified in heading 89.06 if it does not have the essential character of a vessel of a particular kind.",,,,17
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","1. This Chapter does not cover:

(a) Articles of a kind used in machines, appliances or for other technical uses, of vulcanised rubber other than hard rubber (heading 40.16), of leather or of composition leather (heading 42.05) or of textile material (heading 59.11);
(b) Supporting belts or other support articles of textile material, whose intended effect on the organ to be supported or held derives solely from their elasticity (for example, maternity belts, thoracic support bandages, abdominal support bandages, supports for joints or muscles) (Section XI);
(c) Refractory goods of heading 69.03; ceramic wares for laboratory, chemical or other technical uses, of heading 69.09;
(d) Glass mirrors, not optically worked, of heading 70.09, or mirrors of base metal or of precious metal, not being optical elements (heading 83.06 or Chapter 71);
(e) Goods of heading 70.07, 70.08, 70.11, 70.14, 70.15 or 70.17;
(f) Parts of general use, as defined in Note 2 to Section XV, of base metal (Section XV) or similar goods of plastics (Chapter 39);
(g) Pumps incorporating measuring devices, of heading 84.13; weight operated counting or checking machinery, or separately presented weights for balances (heading 84.23); lifting or handling machinery (headings 84.25 to 84.28); paper or paperboard cutting machines of all kinds (heading 84.41); fittings for adjusting work or tools on machine tools or water-jet cutting machines, of heading 84.66, including fittings with optical devices for reading the scale (for example, ""optical"" dividing heads) but not those which are in themselves essentially optical instruments (for example, alignment telescopes); calculating machines (heading 84.70); valves or other appliances of heading 84.81; machines and apparatus (including apparatus for the projection or drawing of circuit patterns on sensitized semiconductor materials) of heading 84.86;
(h) Searchlights or spotlights of a kind used for cycles or motor vehicles (heading 85.12); portable electric lamps of heading 85.13; cinematographic sound recording, reproducing or re-recording apparatus (heading 85.19); sound-heads (heading 85.22); television cameras, digital cameras and video camera recorders (heading 85.25); radar apparatus, radio navigational aid apparatus or radio remote control apparatus (heading 85.26); connectors for optical fibres, optical fibre bundles or cables (heading 85.36); numerical control apparatus of heading 85.37; sealed beam lamp units of heading 85.39; optical fibre cables of heading 85.44;
(ij) Searchlights or spotlights of heading 94.05;
(k) Articles of Chapter 95;
(l) Monopods, bipods, tripods and similar articles, of heading 96.20;
(m) Capacity measures, which are to be classified according to their constituent material; or
(n) Spools, reels or similar supports (which are to be classified according to their constituent material, for example, in heading 39.23 or Section XV).

2. Subject to Note 1 above, parts and accessories for machines, apparatus, instruments or articles of this Chapter are to be classified according to the following rules:

(a) Parts and accessories which are goods included in any of the headings of this Chapter or of Chapter 84, 85 or 91 (other than heading 84.87, 85.48 or 90.33) are in all cases to be classified in their respective headings;
(b) Other parts and accessories, if suitable for use solely or principally with a particular kind of machine, instrument or apparatus, or with a number of machines, instruments or apparatus of the same heading (including a machine, instrument or apparatus of heading 90.10, 90.13 or 90.31) are to be classified with the machines, instruments or apparatus of that kind;
(c) All other parts and accessories are to be classified in heading 90.33.

3. The provisions of Notes 3 and 4 to Section XVI apply also to this Chapter.

4. Heading 90.05 does not apply to telescopic sights for fitting to arms, periscopic telescopes for fitting to submarines or tanks, or to telescopes for machines, appliances, instruments or apparatus of this Chapter or Section XVI; such telescopic sights and telescopes are to be classified in heading 90.13.

5. Measuring or checking optical instruments, appliances or machines which, but for this Note, could be classified both in heading 90.13 and in heading 90.31 are to be classified in heading 90.31.

6. For the purposes of heading 90.21, the expression ""orthopaedic appliances"" means appliances for:

Preventing or correcting bodily deformities; or
Supporting or holding parts of the body following an illness, operation or injury.
Orthopaedic appliances include footwear and special insoles designed to correct orthopaedic conditions, provided that they are either (1) made to measure or (2) mass-produced, presented singly and not in pairs and designed to fit either foot equally.

7. Heading 90.32 applies only to:

(a) Instruments and apparatus for automatically controlling the flow, level, pressure or other variables of liquids or gases, or for automatically controlling temperature, whether or not their operation depends on an electrical phenomenon which varies according to the factor to be automatically controlled, which are designed to bring this factor to, and maintain it at, a desired value, stabilised against disturbances, by constantly or periodically measuring its actual value; and
(b) Automatic regulators of electrical quantities, and instruments or apparatus for automatically controlling non-electrical quantities the operation of which depends on an electrical phenomenon varying according to the factor to be controlled, which are designed to bring this factor to, and maintain it at, a desired value, stabilised against disturbances, by constantly or periodically measuring its actural value.

",,"1. For the purpose of this Chapter, the term ""printed circuit assembly"" means a good consisting of one or more printed circuits of heading 85.34 with one or more active elements assembled thereon, with or without passive elements. For the purpose of this Note, ""active elements"" means diodes, transistors and similar semiconductor devices, whether or not photosensitive, of heading 85.41, and integrated circuits and microassemblies of heading 85.42.

2. For the purpose of the tariff items of this Chapter, the term ""electrical"" when used in reference to instruments, appliances, apparatus and machines, refers to those articles the operation of which depends on an electrical phenomenon which varies according to the factor to be determined.","(NB This note does not form part of the Customs Tariff legislation.)

1. For the statistical purposes of subheading 9001.10 having unit of measure ""metre"", the intention is to capture the total number of metres obtained by multiplying the number of individual fibres by the length.",18
91,Clocks and watches and parts thereof,"1. This Chapter does not cover:

(a) Clock or watch glasses or weights (classified according to their constituent material);
(b) Watch chains (heading 71.13 or 71.17, as the case may be);
(c) Parts of general use defined in Note 2 to Section XV, of base metal (Section XV), or similar goods of plastics (Chapter 39) or of precious metal or metal clad with precious metal (generally heading 71.15); clock or watch springs are, however, to be classified as clock or watch parts (heading 91.14);
(d) Bearing balls (heading 73.26 or 84.82, as the case may be);
(e) Articles of heading 84.12 constructed to work without an escapement;
(f) Ball bearings (heading 84.82); or
(g) Articles of Chapter 85, not yet assembled together or with other components into watch or clock movements or into articles suitable for use solely or principally as parts of such movements (Chapter 85).

2. Heading 91.01 covers only watches with case wholly of precious metal or of metal clad with precious metal, or of the same materials combined with natural or cultured pearls, or precious or semi-precious stones (natural, synthetic or reconstructed) of headings 71.01 to 71.04. Watches with case of base metal inlaid with precious metal fall in heading 91.02.

3. For the purpose of this Chapter, the expression ""watch movements"" means devices regulated by a balance-wheel and hairspring, quartz crystal or any other system capable of determining intervals of time, with a display or a system to which a mechanical display can be incorporated. Such watch movements shall not exceed 12 mm in thickness and 50 mm in width, length or diameter.

4. Except as provided in Note 1, movements and other parts suitable for use both in clocks or watches and in other articles (for example, precision instruments) are to be classified in this Chapter.",,,,18
